iter	Passed	Remaining
156	528	2836
157	531	2831
158	534	2827
159	538	2825
160	541	2822
161	544	2818
162	548	2814
163	551	2810
164	554	2805
165	557	2800
166	560	2796
167	563	2792
168	566	2784
169	569	2780
170	572	2776
171	575	2771
172	578	2767
173	581	2762
174	585	2757
175	588	2753
176	591	2749
177	594	2744
178	597	2740
179	599	2733
180	603	2729
181	606	2724
182	609	2721
183	612	2716
184	615	2712
185	618	2708
186	622	2704
187	625	2700
188	628	2696
189	631	2692
190	634	2688
191	637	2684
192	640	2679
193	643	2675
194	647	2673
195	650	2670
196	654	2666
197	657	2662
198	660	2657
199	666	2664
200	668	2658
201	672	2657
202	676	2657
203	681	2658
204	685	2657
205	689	2657
206	693	2655
207	696	2652
208	700	2650
209	703	2648
210	706	2642
211	710	2641
212	714	2639
213	718	2637
214	721	2635
215	725	2632
216	728	2629
217	731	2625
218	734	2619
219	737	2616
220	740	2611
221	743	2605
222	745	2598
223	748	2593
224	751	2587
225	753	2581
226	756	2576
227	759	2571
228	762	2566
229	765	2563
230	769	2561
231	773	2559
232	776	2556
233	780	2555
234	784	2552
235	787	2549
236	791	2548
237	795	2546
238	798	2542
239	801	2539
240	805	2537
241	809	2534
242	813	2533
243	817	2533
244	821	2533
245	825	2531
246	830	2530
247	833	2528
248	837	2525
249	841	2523
250	844	2521
251	848	2518
252	851	2515
253	855	2513
254	859	2510
255	862	2507
256	866	2503
257	869	2501
258	873	2497
259	876	2495
260	880	2493
261	884	2490
262	887	2487
263	891	2485
264	894	2482
265	898	2478
266	901	2475
267	905	2473
268	909	2470
269	913	2468
270	916	2466
271	920	2463
272	924	2461
273	928	2458
274	931	2455
275	935	2452
276	938	2449
277	942	2447
278	945	2443
279	949	2441
280	953	2438
281	957	2437
282	961	2436
283	964	2432
284	969	2431
285	972	2428
286	978	2429
287	982	2428
288	986	2426
289	990	2424
290	994	2422
291	998	2419
292	1001	2417
293	1004	2413
294	1007	2408
295	1010	2404
296	1013	2399
297	1016	2395
298	1019	2390
299	1022	2386
300	1025	2381
301	1029	2379
302	1032	2375
303	1036	2372
304	1039	2368
305	1043	2365
306	1045	2360
307	1048	2356
308	1051	2351
309	1054	2347
310	1058	2346
311	1062	2341
312	1064	2336
313	1067	2331
314	1069	2326
315	1073	2323
316	1075	2318
317	1078	2312
318	1081	2308
319	1083	2303
320	1087	2299
321	1090	2295
322	1092	2289
323	1095	2286
324	1098	2281
325	1101	2278
326	1104	2273
327	1107	2269
328	1110	2265
329	1113	2260
330	1115	2255
331	1118	2250
332	1121	2245
333	1123	2240
334	1126	2235
335	1128	2230
336	1131	2225
337	1133	2220
338	1136	2215
339	1139	2211
340	1140	2204
341	1144	2202
342	1150	2202
343	1153	2199
344	1156	2196
345	1161	2195
346	1165	2192
347	1169	2190
348	1173	2188
349	1177	2185
350	1180	2182
351	1183	2178
352	1186	2174
353	1189	2171
354	1193	2167
355	1196	2165
356	1199	2160
357	1202	2156
358	1205	2152
359	1208	2148
360	1211	2143
361	1213	2139
362	1215	2133
363	1218	2128
364	1221	2124
365	1223	2119
366	1225	2114
367	1228	2109
368	1230	2104
369	1233	2100
370	1236	2096
371	1239	2093
372	1241	2087
373	1244	2083
374	1247	2078
375	1250	2074
376	1252	2070
377	1255	2065
378	1257	2061
379	1260	2056
380	1263	2052
381	1265	2047
382	1268	2043
383	1271	2039
384	1273	2034
385	1276	2029
386	1278	2025
387	1281	2020
388	1283	2016
389	1286	2012
390	1288	2007
391	1290	2002
392	1293	1998
393	1296	1994
394	1298	1988
395	1300	1983
396	1303	1979
397	1307	1977
398	1308	1970
399	1310	1966
400	1312	1961
401	1315	1956
402	1317	1951
403	1319	1946
404	1322	1942
405	1324	1937
406	1326	1932
407	1328	1927
408	1330	1922
409	1332	1918
410	1335	1913
411	1337	1908
412	1339	1903
413	1341	1899
414	1344	1894
415	1346	1890
416	1348	1885
417	1351	1881
418	1353	1877
419	1356	1872
420	1358	1868
421	1361	1864
422	1363	1859
423	1366	1855
424	1368	1851
425	1370	1847
426	1373	1842
427	1376	1839
428	1378	1834
429	1381	1831
430	1385	1828
431	1388	1825
432	1392	1823
433	1396	1821
434	1400	1818
435	1403	1815
436	1407	1812
437	1410	1810
438	1414	1807
439	1417	1804
440	1421	1801
441	1425	1799
442	1428	1796
443	1432	1793
444	1436	1791
445	1439	1788
446	1443	1785
447	1447	1783
448	1451	1781
449	1455	1778
450	1458	1775
451	1461	1771
452	1465	1769
453	1470	1768
454	1473	1765
455	1477	1762
456	1481	1760
457	1485	1757
458	1489	1755
459	1493	1753
460	1498	1751
461	1501	1748
462	1505	1745
463	1508	1742
464	1512	1739
465	1516	1737
466	1519	1734
467	1522	1731
468	1527	1728
469	1530	1725
470	1533	1722
471	1537	1719
472	1540	1716
473	1544	1713
474	1548	1711
475	1551	1707
476	1555	1705
477	1559	1703
478	1563	1700
479	1567	1697
480	1571	1695
481	1574	1692
482	1578	1689
483	1581	1686
484	1585	1683
485	1589	1680
486	1592	1677
487	1596	1675
488	1600	1672
489	1604	1669
490	1607	1666
491	1611	1663
492	1614	1660
493	1617	1657
494	1621	1654
495	1625	1651
496	1629	1649
497	1634	1647
498	1639	1646
499	1643	1643
500	1647	1640
501	1650	1637
502	1653	1634
503	1657	1631
504	1661	1628
505	1666	1626
506	1669	1623
507	1673	1620
508	1676	1616
509	1679	1613
510	1682	1609
511	1685	1606
512	1688	1602
513	1690	1598
514	1692	1593
515	1694	1589
516	1696	1585
517	1698	1580
518	1701	1577
519	1703	1572
520	1705	1568
521	1707	1564
522	1710	1560
523	1713	1556
524	1715	1552
525	1718	1548
526	1720	1543
527	1722	1540
528	1725	1536
529	1727	1531
530	1729	1527
531	1732	1523
532	1734	1519
533	1738	1516
534	1741	1513
535	1745	1511
536	1749	1508
537	1752	1505
538	1756	1502
539	1760	1499
540	1763	1496
541	1767	1493
542	1771	1491
543	1776	1488
544	1780	1486
545	1784	1483
546	1787	1480
547	1791	1477
548	1795	1474
549	1799	1472
550	1802	1468
551	1805	1465
552	1808	1462
553	1812	1459
554	1815	1455
555	1818	1452
556	1821	1448
557	1824	1444
558	1826	1441
559	1829	1437
560	1831	1433
561	1834	1429
562	1836	1425
563	1839	1421
564	1841	1417
565	1844	1414
566	1846	1410
567	1849	1406
568	1851	1402
569	1853	1398
570	1856	1394
571	1858	1390
572	1861	1387
573	1863	1383
574	1866	1379
575	1868	1375
576	1871	1371
577	1873	1367
578	1876	1364
579	1878	1360
580	1880	1355
581	1882	1351
582	1884	1347
583	1886	1343
584	1888	1339
585	1890	1335
586	1893	1332
587	1895	1328
588	1898	1324
589	1901	1321
590	1905	1318
591	1909	1315
592	1912	1312
593	1916	1310
594	1919	1306
595	1923	1303
596	1927	1301
597	1931	1298
598	1934	1295
599	1938	1292
600	1942	1289
601	1946	1286
602	1950	1284
603	1953	1280
604	1957	1277
605	1962	1275
606	1966	1272
607	1969	1269
608	1973	1267
609	1977	1264
610	1981	1261
611	1984	1258
612	1988	1255
613	1992	1252
614	1995	1249
615	1999	1246
616	2003	1243
617	2006	1240
618	2010	1237
619	2014	1234
620	2018	1231
621	2023	1229
622	2026	1226
623	2028	1222
624	2032	1219
625	2036	1216
626	2039	1213
627	2043	1210
628	2046	1207
629	2050	1204
630	2053	1201
631	2057	1197
632	2061	1194
633	2065	1192
634	2068	1189
635	2072	1186
636	2076	1183
637	2079	1180
638	2083	1177
639	2086	1173
640	2090	1170
641	2094	1168
642	2098	1165
643	2102	1162
644	2106	1159
645	2110	1156
646	2112	1152
647	2115	1149
648	2119	1146
649	2123	1143
650	2127	1140
651	2131	1137
652	2135	1134
653	2139	1131
654	2143	1128
655	2159	1132
656	2163	1129
657	2166	1126
658	2170	1122
659	2171	1118
660	2176	1116
661	2179	1112
662	2183	1109
663	2186	1106
664	2190	1103
665	2194	1100
666	2198	1097
667	2202	1094
668	2206	1091
669	2209	1088
670	2213	1085
671	2216	1082
672	2220	1078
673	2223	1075
674	2227	1072
675	2230	1069
676	2233	1065
677	2237	1062
678	2241	1059
679	2244	1056
680	2247	1052
681	2250	1049
682	2254	1046
683	2257	1043
684	2261	1039
685	2265	1036
686	2269	1033
687	2272	1030
688	2275	1027
689	2279	1024
690	2281	1020
691	2285	1017
692	2289	1014
693	2294	1011
694	2297	1008
695	2301	1005
696	2305	1002
697	2308	998
698	2311	995
699	2314	991
700	2319	989
701	2322	986
702	2326	982
703	2329	979
704	2333	976
705	2336	973
706	2340	969
707	2343	966
708	2345	962
709	2348	959
710	2352	956
711	2356	953
712	2359	949
713	2363	946
714	2367	943
715	2370	940
716	2374	937
717	2377	933
718	2380	930
719	2384	927
720	2388	924
721	2392	921
722	2395	917
723	2398	914
724	2402	911
725	2404	907
726	2408	904
727	2412	901
728	2415	897
729	2418	894
730	2421	891
731	2425	888
732	2429	884
733	2432	881
734	2436	878
735	2439	875
736	2443	871
737	2446	868
738	2450	865
739	2454	862
740	2458	859
741	2461	855
742	2465	852
743	2468	849
744	2472	846
745	2476	843
746	2480	839
747	2484	836
748	2487	833
749	2491	830
750	2495	827
751	2498	824
752	2501	820
753	2506	817
754	2509	814
755	2513	811
756	2516	807
757	2520	804
758	2523	801
759	2527	798
760	2530	794
761	2534	791
762	2537	788
763	2541	785
764	2545	782
765	2549	778
766	2552	775
767	2556	772
768	2559	768
769	2563	765
770	2566	762
771	2570	759
772	2573	755
773	2577	752
774	2581	749
775	2584	746
776	2588	742
777	2591	739
778	2595	736
779	2599	733
780	2603	729
781	2606	726
782	2610	723
783	2613	720
784	2618	717
785	2622	713
786	2626	710
787	2629	707
788	2632	704
789	2636	700
790	2640	697
791	2643	694
792	2647	691
793	2651	687
794	2655	684
795	2658	681
796	2663	678
797	2666	675
798	2670	671
799	2673	668
800	2677	665
801	2680	661
802	2683	658
803	2687	655
804	2690	651
805	2694	648
806	2697	645
807	2701	641
808	2704	638
809	2708	635
810	2711	632
811	2715	628
812	2718	625
813	2721	621
814	2725	618
815	2728	615
816	2732	612
817	2736	608
818	2740	605
819	2743	602
820	2747	599
821	2751	595
822	2756	592
823	2759	589
824	2763	586
825	2767	583
826	2771	579
827	2773	576
828	2778	573
829	2781	569
830	2784	566
831	2787	562
832	2790	559
833	2792	555
834	2794	552
835	2796	548
836	2798	544
837	2800	541
838	2801	537
839	2803	534
840	2805	530
841	2807	526
842	2808	523
843	2810	519
844	2812	515
845	2815	512
846	2818	509
847	2820	505
848	2822	501
849	2824	498
850	2825	494
851	2827	491
852	2829	487
853	2832	484
854	2837	481
855	2840	477
856	2844	474
857	2847	471
858	2851	467
859	2854	464
860	2858	461
861	2862	458
862	2865	454
863	2869	451
864	2872	448
865	2876	445
866	2880	441
867	2884	438
868	2887	435
869	2891	432
870	2894	428
871	2897	425
872	2900	421
873	2903	418
874	2907	415
875	2911	412
876	2915	408
877	2918	405
878	2923	402
879	2927	399
880	2931	395
881	2936	392
882	2940	389
883	2944	386
884	2948	383
885	2952	379
886	2956	376
887	2959	373
888	2962	369
889	2966	366
890	2969	363
891	2973	360
892	2977	356
893	2980	353
894	2984	350
895	2988	346
896	2991	343
897	2995	340
898	2998	336
899	3002	333
900	3006	330
901	3009	327
902	3012	323
903	3016	320
904	3018	316
905	3022	313
906	3024	310
907	3027	306
908	3030	303
909	3034	300
910	3036	296
911	3039	293
912	3041	289
913	3045	286
914	3048	283
915	3051	279
916	3054	276
917	3057	273
918	3060	269
919	3063	266
920	3066	263
921	3069	259
922	3072	256
923	3075	253
924	3079	249
925	3083	246
926	3086	243
927	3089	239
928	3093	236
929	3096	233
930	3101	229
931	3104	226
932	3108	223
933	3111	219
934	3115	216
935	3119	213
936	3123	209
937	3127	206
938	3130	203
939	3134	200
940	3137	196
941	3141	193
942	3145	190
943	3148	186
944	3152	183
945	3155	180
946	3158	176
947	3161	173
948	3165	170
949	3168	166
950	3171	163
951	3174	160
952	3178	156
953	3181	153
954	3184	150
955	3187	146
956	3190	143
957	3194	140
958	3197	136
959	3200	133
960	3203	130
961	3206	126
962	3210	123
963	3213	120
964	3216	116
965	3219	113
966	3222	109
967	3226	106
968	3229	103
969	3233	100
970	3237	96
971	3240	93
972	3243	90
973	3246	86
974	3249	83
975	3252	79
976	3256	76
977	3259	73
978	3262	69
979	3266	66
980	3269	63
981	3272	59
982	3275	56
983	3278	53
984	3282	49
985	3285	46
986	3288	43
987	3291	39
988	3294	36
989	3297	33
990	3300	29
991	3303	26
992	3306	23
993	3310	19
994	3313	16
995	3316	13
996	3319	9
997	3323	6
998	3326	3
999	3329	0
